id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to
1242445058080681990,1242445058080681990,1585056960000,2020-03-24,09:36:00,EDT,241058050,annoi7,Ain Fatema,,کیا اتنا بے شرم میڈیا ہے کسی اور ملکُ میں؟؟ اور کیا اتنا صبر و تحمل والا لیڈر ہے کسی اور ملک کے پاس؟؟  کیا کرنا چاہئے ہے ایسے ضمیر فروش اور نا شکرے میڈیا کے ساتھ؟؟  #حرامی_میڈیا #COVIDー19 #COVID19 #CovidInPakistan #CoronaVirusUpdate,[],[],[],0,0,0,"['#حرامی_میڈیا', '#covidー19', '#covid19', '#covidinpakistan', '#coronavirusupdate']",[],https://twitter.com/Annoi7/status/1242445058080681990,False,,0,,,,,,,"[{'user_id': '241058050', 'username': 'Annoi7'}]"
1242009622522839040,1242009622522839040,1584953144000,2020-03-23,04:45:44,EDT,1035173022892732416,alixohaib91,Zohaib Ali,,This outbreak made us realise that controlling childrens are more easier than controlling adults. That's why Pakistan government should now force the armies to take actions on these kind of ignorance people. #COVIDinPakistan  pic.twitter.com/0KI1AajBrW,[],[],['https://pbs.twimg.com/media/ETyBJnHWkAADWWQ.jpg'],0,0,0,['#covidinpakistan'],[],https://twitter.com/alixohaib91/status/1242009622522839040,False,,0,,,,,,,"[{'user_id': '1035173022892732416', 'username': 'alixohaib91'}]"
1241727082188673024,1241723718251970560,1584885781000,2020-03-22,10:03:01,EDT,893211059724668929,naveedkhan237,Naveed Khan,,"Strange wish we pakistani take this emergency situation o covid seriously. Just saw in G13, islamabad outside the house someone setup dastarkhwan fir free food...and around 30 to 40 persons were sitting so conjusted n eating+ enjoying the food. Kash hm samjh skty #covidinpakistan",[],[],[],0,0,0,['#covidinpakistan'],[],https://twitter.com/Naveedkhan237/status/1241727082188673024,False,,0,,,,,,,"[{'user_id': '893211059724668929', 'username': 'Naveedkhan237'}]"
1241415364954775555,1241415364954775555,1584811462000,2020-03-21,13:24:22,EDT,1239132885019504640,nabila83363260,Nabila,,#COVIDInPakistan  pic.twitter.com/FWsJlsRdO4,[],[],['https://pbs.twimg.com/media/ETpkjGzXYAQZnx9.png'],0,0,1,['#covidinpakistan'],[],https://twitter.com/Nabila83363260/status/1241415364954775555,False,,0,,,,,,,"[{'user_id': '1239132885019504640', 'username': 'Nabila83363260'}]"
1241352682713071621,1241352682713071621,1584796517000,2020-03-21,09:15:17,EDT,1239132885019504640,nabila83363260,Nabila,,#CovidInPakistan  https://twitter.com/Nabila83363260/status/1241331572978208770 …,[],['https://twitter.com/Nabila83363260/status/1241331572978208770'],[],0,0,1,['#covidinpakistan'],[],https://twitter.com/Nabila83363260/status/1241352682713071621,False,https://twitter.com/Nabila83363260/status/1241331572978208770,0,,,,,,,"[{'user_id': '1239132885019504640', 'username': 'Nabila83363260'}]"
1241112904256143362,1241112904256143362,1584739349000,2020-03-20,17:22:29,EDT,1346899921,fuchsia_mag,FUCHSIA,,Actions speak louder than words! And they've got it just about right! #SocialDistancing #Covid_19 #covidinpakistan #lockdown #coronavirus #CoronaInPakistan #SundayMotivation #CoronaCrisis https://twitter.com/ohTEEJ/status/1240748687187476482 …,[],['https://twitter.com/ohTEEJ/status/1240748687187476482'],[],0,0,1,"['#socialdistancing', '#covid_19', '#covidinpakistan', '#lockdown', '#coronavirus', '#coronainpakistan', '#sundaymotivation', '#coronacrisis']",[],https://twitter.com/fuchsia_mag/status/1241112904256143362,False,https://twitter.com/ohTEEJ/status/1240748687187476482,0,,,,,,,"[{'user_id': '1346899921', 'username': 'fuchsia_mag'}]"
1240959473881096192,1240959473881096192,1584702769000,2020-03-20,07:12:49,EDT,98918647,arsalanghumman,Arsalan Taj,,It is very petty of those who are trying political point scoring in this critical times.  There will come a time when you may satisfy your “bughz” but it is not the right time.  #karachi #covidinpakistan,[],[],[],2,5,12,"['#karachi', '#covidinpakistan']",[],https://twitter.com/ArsalanGhumman/status/1240959473881096192,False,,0,,,,,,,"[{'user_id': '98918647', 'username': 'ArsalanGhumman'}]"
1240340029215510528,1240340029215510528,1584555082000,2020-03-18,14:11:22,EDT,1512806768,ziddihaseena,Fatima Hus,,#CovidinPakistan #Shia Bhai ye Kundo wali aunties ko samjhae koi!!! Plz retweet. #Karachi #GeoNews #CoronaVirusChallenge,[],[],[],0,0,1,"['#covidinpakistan', '#shia', '#karachi', '#geonews', '#coronaviruschallenge']",[],https://twitter.com/ziddihaseena/status/1240340029215510528,False,,0,,,,,,,"[{'user_id': '1512806768', 'username': 'ziddihaseena'}]"
1239566056521437185,1239566056521437185,1584370552000,2020-03-16,10:55:52,EDT,86748782,shamylmansoor,shamyl mansoor,,At @learnobots we're making sure we keep our #team as well as everyone else safe. Figuring out ways to work remotely!  #COVID2019 #covidinPakistan  pic.twitter.com/XXvgWdVqOE,['learnobots'],[],['https://pbs.twimg.com/media/ETPSfc3WkAAmofL.jpg'],0,0,11,"['#team', '#covid2019', '#covidinpakistan']",[],https://twitter.com/shamylmansoor/status/1239566056521437185,False,,0,,,,,,,"[{'user_id': '86748782', 'username': 'shamylmansoor'}, {'user_id': '2591696384', 'username': 'learnobots'}]"
1239278206903033858,1239278206903033858,1584301923000,2020-03-15,15:52:03,EDT,1712259817,mamoonahch,Mamoona Chaudhry,,COVID-19 situation in Pakistan.   #COVID19 #covidinPakistan #CoronaVirusPakistan pic.twitter.com/vTolMOiqGZ,[],[],['https://pbs.twimg.com/media/ETLMls5XYAILnWE.jpg'],1,1,2,"['#covid19', '#covidinpakistan', '#coronaviruspakistan']",[],https://twitter.com/MamoonaHCh/status/1239278206903033858,False,,0,,,,,,,"[{'user_id': '1712259817', 'username': 'MamoonaHCh'}]"
